simulation_id,SEM-0001,SEM-0002,SEM-0003,SEM-0004,SEM-0005,SEM-0006,SEM-0007,SEM-0008,SEM-0009,SEM-0010,SEM-0011,SEM-0012
108,40.66883518844537,83.34583081858042,53.876976242072296,60.388025788441155,59.21828320291894,53.330190801013245,52.883317695760155,52.916957709325565,51.930484067505404,52.07205373712461,69.76711835292487,69.16542705338105
109,43.8749931879018,86.41937012116107,56.95051554465292,63.46156509102179,62.291822505499574,48.34616902973002,47.899295924476945,47.932935938042355,46.94646229622218,47.088031965841395,67.93028281623471,67.32859151669089
110,47.205608719608335,86.51089742830226,57.042042851794115,63.55309239816298,62.383349812640766,51.481283586215234,51.03441048096216,51.06805049452756,50.081576852707386,50.2231465223266,69.12894218441407,68.52725088487026
111,45.90385122378823,88.32720351757732,58.858348941069195,65.36939848743806,64.19965590191585,49.528919005312346,49.082045900059256,49.11568591362466,48.12921227180449,48.2707819414237,68.35986794547503,67.75817664593123
112,51.551735228381354,87.28562699806362,57.8167724215555,64.32782196792436,63.15807938240214,50.88900851895748,50.442135413704406,50.47577542726981,49.48930178544963,49.63087145506885,69.44676371266922,68.84507241312542
113,50.714421232588556,88.71032544449066,59.241470867982535,65.7525204143514,64.58277782882918,51.97711756707497,51.53024446182188,51.56388447538729,50.577410833567114,50.71898050318634,69.7334955078754,69.1318042083316
114,50.03867873874115,91.12017726258031,61.651322686072184,68.16237223244104,66.99262964691883,49.70706642740371,49.26019332215063,49.29383333571603,48.307359693895854,48.44892936351507,68.78228447032811,68.18059317078429
115,55.90949759210794,88.89981112299661,59.43095654648848,65.94200609285734,64.77226350733513,50.25095055297737,49.80407744772428,49.837717461289685,48.85124381946952,48.99281348908874,69.5943717852958,68.992680485752
116,44.23277895810184,86.24067417895846,56.77181960245032,63.28286914881919,62.11312656329697,49.8466361978996,49.39976309264652,49.43340310621193,48.44692946439175,48.588499134010966,68.41456419323066,67.81287289368684
117,48.784586369997385,88.43482859615763,58.965974019649515,65.47702356601837,64.30728098049616,48.53566966987094,48.08879656461785,48.12243657818326,47.13596293636309,47.27753260598231,67.90491761143119,67.30322631188737
118,44.18890413687781,86.88470544836194,57.4158508718538,63.92690041822268,62.75715783270046,48.42778849966764,47.98091539441456,48.01455540797996,47.028081766159794,47.169651435779,67.73752001282881,67.135828713285
119,43.69948494979592,83.80576064398736,54.33690606747922,60.84795561384808,59.678213028325864,50.03123807853297,49.58436497327988,49.618004986845285,48.63153134502512,48.773101014644325,68.42291163785899,67.82122033831519
120,50.36181069415594,88.36959412085258,58.90073954434446,65.41178909071331,64.2420465051911,50.57403597392207,50.12716286866898,50.16080288223439,49.17432924041422,49.315898910033425,69.12500953039677,68.52331823085295
121,49.069033760870546,88.10571824932258,58.63686367281446,65.14791321918332,63.9781706336611,50.89359805919202,50.44672495393894,50.48036496750434,49.49389132568417,49.63546099530338,69.29538472346657,68.69369342392275
122,39.84041617527881,83.23452632114086,53.765671744632726,60.27672129100159,59.10697870547937,49.920817860841936,49.47394475558886,49.50758476915426,48.521111127334095,48.6626807969533,68.30428544278698,67.70259414324316
123,44.019466575776356,86.49936026691596,57.03050569040783,63.541555236776695,62.37181265125448,49.91727368070903,49.47040057545594,49.50404058902135,48.51756694720118,48.6591366168204,68.50071563095312,67.89902433140931
124,42.738893567674985,85.29976170103136,55.83090712452324,62.341956670892095,61.172214085369895,49.2506312528937,48.80375814764061,48.83739816120601,47.85092451938584,47.99249418900505,67.93450629426677,67.33281499472295
125,50.037224795850065,86.48915849233241,57.020303915824265,63.53135346219314,62.36161087667092,50.887236511350885,50.4403634060978,50.474003419663205,49.487529777843044,49.62909944746225,69.01319062671243,68.41149932716861
126,47.630852472673936,86.95627087740803,57.487416300899895,63.99846584726875,62.82872326174653,49.71906374868824,49.27219064343515,49.30583065700056,48.3193570151804,48.46092668479961,68.72035065430313,68.11865935475933
