sector_id,sr_no,sector,year,credit_crore
2.13.1  ,2.13.1  ,Iron and Steel,2023,228614.11499
2.13.2  ,2.13.2  ,Other Metal and Metal Product,2023,114115.370332
2.14  ,2.14  ,All Engineering,2023,177978.895549
2.14.1  ,2.14.1  ,Electronics,2023,40836.84364
2.14.2  ,2.14.2  ,Others,2023,137142.051908
2.15  ,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",2023,101616.961508
2.16  ,2.16  ,Gems and Jewellery,2023,78599.810169
2.17  ,2.17  ,Construction,2023,124955.254703
2.18  ,2.18  ,Infrastructure,2023,1223104.943332
2.18.1  ,2.18.1  ,Power,2023,620231.404645
2.18.2  ,2.18.2  ,Telecommunications,2023,108262.16
2.18.3  ,2.18.3  ,Roads,2023,300209.550457
2.18.4  ,2.18.4  ,Airports,2023,9593.04
2.18.5  ,2.18.5  ,Ports,2023,7982.55
2.18.6  ,2.18.6  ,Railways (other than Indian Railways),2023,10174.63
2.18.7  ,2.18.7  ,Other Infrastructure,2023,166651.60823
2.19  ,2.19  ,Other Industries,2023,218756.513244
,,Industries (2.1 to 2.19),2023,3366405.867978
2.1  ,2.1  ,Mining and Quarrying (incl. Coal),2024,54220.1844
2.2  ,2.2  ,Food Processing,2024,208862.7716
2.2.1  ,2.2.1  ,Sugar,2024,26383.01125
2.2.2  ,2.2.2  ,Edible Oils and Vanaspati,2024,19700.21613
2.2.3  ,2.2.3  ,Tea,2024,5691.947888
2.2.4  ,2.2.4  ,Others,2024,157087.5963
2.3  ,2.3  ,Beverage and Tobacco,2024,31137.4711
2.4  ,2.4  ,Textiles,2024,256047.9836
2.4.1  ,2.4.1  ,Cotton Textiles,2024,99513.08708
2.4.2  ,2.4.2  ,Jute Textiles,2024,4279.559436
2.4.3  ,2.4.3  ,Man-Made Textiles,2024,45074.46841
2.4.4  ,2.4.4  ,Other Textiles,2024,107180.8687
2.5  ,2.5  ,Leather and Leather Products,2024,12587.81048
2.6  ,2.6  ,Wood and Wood Products,2024,23838.81498
2.7  ,2.7  ,Paper and Paper Products,2024,46426.05713
2.8  ,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",2024,132356.3024
2.9  ,2.9  ,Chemicals and Chemical Products,2024,249347.616
2.9.1  ,2.9.1  ,Fertiliser,2024,37569.36877
2.9.2  ,2.9.2  ,Drugs and Pharmaceuticals,2024,80832.23558
2.9.3  ,2.9.3  ,Petro Chemicals,2024,25318.15427
2.9.4  ,2.9.4  ,Others,2024,105627.8573
2.10  ,2.10  ,"Rubber, Plastic and their Products",2024,90471.78341
2.11  ,2.11  ,Glass and Glassware,2024,12090.21779
2.12  ,2.12  ,Cement and Cement Products,2024,59756.90776
2.13  ,2.13  ,Basic Metal and Metal Product,2024,384447.2295
2.13.1  ,2.13.1  ,Iron and Steel,2024,273802.5639
2.13.2  ,2.13.2  ,Other Metal and Metal Product,2024,110644.6656
2.14  ,2.14  ,All Engineering,2024,196864.0536
2.14.1  ,2.14.1  ,Electronics,2024,43395.91409
2.14.2  ,2.14.2  ,Others,2024,153468.1395
2.15  ,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",2024,113547.8696
2.16  ,2.16  ,Gems and Jewellery,2024,84957.19865
2.17  ,2.17  ,Construction,2024,142209.8544
2.18  ,2.18  ,Infrastructure,2024,1326851.767
2.18.1  ,2.18.1  ,Power,2024,651191.2482
2.18.2  ,2.18.2  ,Telecommunications,2024,143097.5097
2.18.3  ,2.18.3  ,Roads,2024,324255.7266
2.18.4  ,2.18.4  ,Airports,2024,7280.23
2.18.5  ,2.18.5  ,Ports,2024,6680.97
2.18.6  ,2.18.6  ,Railways (other than Indian Railways),2024,12961.35106
2.18.7  ,2.18.7  ,Other Infrastructure,2024,181384.7309
2.19  ,2.19  ,Other Industries,2024,256370.6387
,,Industries (2.1 to 2.19),2024,3682392.532
2.1  ,2.1  ,Mining and Quarrying (incl. Coal),2025,56817.55619
2.2  ,2.2  ,Food Processing,2025,219524.7981
2.2.1  ,2.2.1  ,Sugar,2025,28521.70209
2.2.2  ,2.2.2  ,Edible Oils and Vanaspati,2025,20927.25364
2.2.3  ,2.2.3  ,Tea,2025,5083.83262
2.2.4  ,2.2.4  ,Others,2025,164992.0098
2.3  ,2.3  ,Beverage and Tobacco,2025,35515.45461
2.4  ,2.4  ,Textiles,2025,277267.0852
2.4.1  ,2.4.1  ,Cotton Textiles,2025,107494.5958
2.4.2  ,2.4.2  ,Jute Textiles,2025,4288.234703
2.4.3  ,2.4.3  ,Man-Made Textiles,2025,49186.25942
2.4.4  ,2.4.4  ,Other Textiles,2025,116297.9953
2.5  ,2.5  ,Leather and Leather Products,2025,12979.84309
2.6  ,2.6  ,Wood and Wood Products,2025,27825.96738
2.7  ,2.7  ,Paper and Paper Products,2025,52847.59392
2.8  ,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",2025,154178.5291
2.9  ,2.9  ,Chemicals and Chemical Products,2025,267814.87
2.9.1  ,2.9.1  ,Fertiliser,2025,32011.20975
2.9.2  ,2.9.2  ,Drugs and Pharmaceuticals,2025,88524.29389
2.9.3  ,2.9.3  ,Petro Chemicals,2025,28797.46146
2.9.4  ,2.9.4  ,Others,2025,118481.9049
2.10  ,2.10  ,"Rubber, Plastic and their Products",2025,103464.6135
2.11  ,2.11  ,Glass and Glassware,2025,13442.79188
2.12  ,2.12  ,Cement and Cement Products,2025,59752.60731
2.13  ,2.13  ,Basic Metal and Metal Product,2025,433501.1544
2.13.1  ,2.13.1  ,Iron and Steel,2025,300156.0398
2.13.2  ,2.13.2  ,Other Metal and Metal Product,2025,133345.1146
2.14  ,2.14  ,All Engineering,2025,240135.8943
2.14.1  ,2.14.1  ,Electronics,2025,52863.09654
2.14.2  ,2.14.2  ,Others,2025,187272.7977
2.15  ,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",2025,119450.2002
2.16  ,2.16  ,Gems and Jewellery,2025,85813.54569
2.17  ,2.17  ,Construction,2025,160037.0366
2.18  ,2.18  ,Infrastructure,2025,1364368.718
2.18.1  ,2.18.1  ,Power,2025,692159.9417
2.18.2  ,2.18.2  ,Telecommunications,2025,123849.8018
2.18.3  ,2.18.3  ,Roads,2025,334146.5112
2.18.4  ,2.18.4  ,Airports,2025,9155.73
2.18.5  ,2.18.5  ,Ports,2025,5915.78
2.18.6  ,2.18.6  ,Railways (other than Indian Railways),2025,13414.97668
2.18.7  ,2.18.7  ,Other Infrastructure,2025,185725.9769
2.19  ,2.19  ,Other Industries,2025,300921.2914
,,Industries (2.1 to 2.19),2025,3985659.551
2.1  ,2.1  ,Mining and Quarrying (incl. Coal),2026,60930.81628
2.2  ,2.2  ,Food Processing,2026,250187.0083
2.2.1  ,2.2.1  ,Sugar,2026,29742.41651
2.2.2  ,2.2.2  ,Edible Oils and Vanaspati,2026,26225.64579
2.2.3  ,2.2.3  ,Tea,2026,5126.835226
2.2.4  ,2.2.4  ,Others,2026,189092.1108
2.3  ,2.3  ,Beverage and Tobacco,2026,40158.25845
2.4  ,2.4  ,Textiles,2026,301868.4233
2.4.1  ,2.4.1  ,Cotton Textiles,2026,110268.4446
2.4.2  ,2.4.2  ,Jute Textiles,2026,4994.105944
2.4.3  ,2.4.3  ,Man-Made Textiles,2026,52031.98385
2.4.4  ,2.4.4  ,Other Textiles,2026,134573.8889
2.5  ,2.5  ,Leather and Leather Products,2026,14147.20102
2.6  ,2.6  ,Wood and Wood Products,2026,31055.0612
2.7  ,2.7  ,Paper and Paper Products,2026,58963.98515
2.8  ,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",2026,204180.2297
2.9  ,2.9  ,Chemicals and Chemical Products,2026,307905.5671
2.9.1  ,2.9.1  ,Fertiliser,2026,30585.68393
2.9.2  ,2.9.2  ,Drugs and Pharmaceuticals,2026,104391.4091
2.9.3  ,2.9.3  ,Petro Chemicals,2026,36807.94201
2.9.4  ,2.9.4  ,Others,2026,136120.5321
2.10  ,2.10  ,"Rubber, Plastic and their Products",2026,112778.5823
2.11  ,2.11  ,Glass and Glassware,2026,16286.83311
2.12  ,2.12  ,Cement and Cement Products,2026,65112.66177
2.13  ,2.13  ,Basic Metal and Metal Product,2026,518062.2818
2.13.1  ,2.13.1  ,Iron and Steel,2026,356663.3265
2.13.2  ,2.13.2  ,Other Metal and Metal Product,2026,161398.9553
