resource,error
01_Raw_Data/RBI/Sectoral_Credit/PR1559SDB31122019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1842SDB31012020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR299SD31072017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR267SD310718.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR865ST31122020_S1.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2639SD31032017_A.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBC31102024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR803SIBC31072024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD31102022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1070SD31102019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2941SD28042017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR736SDBC28092018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2043A290216_I.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
