dataset,file_role,read_status,rows,columns,duplicate_rows,empty_rows,missing_cells_pct,infinite_values,duplicate_columns,content_hash
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Semiconductor_Capacity_Master.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,0,16,0,0,0.0,0,0,6049c1694ad67f9f3de36f8f38e4599fff568913d20ec3d8fb32f5f680c468fe
01_Raw_Data/Semiconductor/Semiconductor_Project_Master/Semiconductor_Project_Master.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,10,21,0,0,13.3333,0,0,28c35398358d138699865e2f8254bc9568b2df456a774da08e6a2be40aa156e9
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_Master_v2.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,11,16,0,0,25.5682,0,0,af7a8a7739f753322ad0e10b225b00c0ee2e2bb9fbc52e20f7371758c0fb73b1
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_Raw_Page_Index.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,34,3,0,0,6.8627,0,0,0b90d5fa2b32a30c1814b70ba7f1dece9ae8378bbe82d3cfed03a5249d3fd950
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_State_Summary.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,6,3,0,0,0.0,0,0,3ab1e630180a2afe8305a6cb919e1cf2fab36826f2ae1d86e85bc2a87d420672
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/ISM_Project_Source_Index.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,11,4,0,0,0.0,0,0,f9f06fb43380efc2c21593265eed73959a676a274a50eb9c6ae3ef1c65769092
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_ProjectType_Summary.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,6,3,0,0,0.0,0,0,66ee5afbbd3549b5bfb3a7c4f3d2298d3a8823e8c441857803e82c9cac678008
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_Master_Clean.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,10,17,0,0,2.3529,0,0,dea1cf9929ab9d12790e4ab335b99319971524fb69090d4cc3e8f5bfb739086c
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_Master.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,10,13,0,0,3.0769,0,0,8e626d1979b650146d613dee6d4bed672b726c206bda2e84877de8c20b7a0d42
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_Relevant_Pages.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,34,3,0,0,6.8627,0,0,0b90d5fa2b32a30c1814b70ba7f1dece9ae8378bbe82d3cfed03a5249d3fd950
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Source_Index/Semiconductor_Capacity_Source_Index.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,0,4,0,0,0.0,0,0,65daa9e8b225338e0674dc892139f4de0dca1d668c18f81c47983a5b6278d77f
01_Raw_Data/Semiconductor/Semiconductor_Master/Audit/Semiconductor_Column_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,104,5,0,0,0.0,0,0,45d4e03917756f499364e30f3d1603787946e34d99d399cdc17aeed8bfb87c41
01_Raw_Data/Semiconductor/Semiconductor_Master/Audit/Semiconductor_Master_Data_Dictionary.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,51,3,0,0,0.0,0,0,8b7bf26c0cb77ff55495fdbc16090fcb6c114d1b87a8f62fb9e6b68db7fb2f57
01_Raw_Data/Semiconductor/Semiconductor_Master/Audit/Semiconductor_Data_Quality_Summary.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,5,6,0,0,0.0,0,0,bffc6b7e100c74fa6b4252d7e3fa08433a71adf29a6cb310b6b5c3b1a9cd2cf5
01_Raw_Data/Semiconductor/Semiconductor_Master/Audit/Semiconductor_Master_Domain_Coverage.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,5,5,0,0,0.0,0,0,7bd6c4c01a994b502e6145ed5eee550a961ca4446fda51012b9bfe5341100982
01_Raw_Data/Semiconductor/Semiconductor_Master/Candidate_Discovery/Semiconductor_Project_Verification_Review.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,5,27,0,0,74.0741,0,0,e4f354b6959adc853087e3d19fc5fb6346d98a318a7d9f9f072369ca8f10171b
01_Raw_Data/Semiconductor/Semiconductor_Master/Candidate_Discovery/Semiconductor_Approved_Projects_PENDING_MASTER_MERGE.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,0,27,0,0,0.0,0,0,75fa589310b1fbfcef60cc16dfdb93d968a92c6988f703c465e937cfa28bb93c
01_Raw_Data/Semiconductor/Semiconductor_Master/Candidate_Discovery/Semiconductor_Project_Candidates.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,5,16,0,0,62.5,0,0,7c600df0a1245d898a308bc173827c4ef636ec5ec8dedf03e1026582d04ab742
01_Raw_Data/Semiconductor/Semiconductor_Master/Candidate_Discovery/Semiconductor_Approved_Projects_READY_FOR_MERGE.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,0,28,0,0,0.0,0,0,60b5cd6ca58ba2660e9ed36476a074cbb0b9fbb66ecab24f05602116bd90416d
01_Raw_Data/Semiconductor/Semiconductor_Master/Candidate_Discovery/Semiconductor_Candidate_Verification.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,5,28,0,0,42.1429,0,0,432f57c577ae888544303e70560963d99634f2e92b9123d12e8bf67f92b873f6
01_Raw_Data/Semiconductor/Semiconductor_Master/Candidate_Discovery/Semiconductor_Master_Merge_Preview.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,10,36,0,0,1.1111,0,0,45459d4c121feca6347d5a3ea974ba8596417666dd9b7572cacca6dbc4342986
01_Raw_Data/Semiconductor/Semiconductor_Master/Candidate_Discovery/Semiconductor_Project_Review.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,5,26,0,0,69.2308,0,0,721c879401d29b767df5cb5ffa592ac34eb67da6d1ba068818ae9e9b54cc7626
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Projects_Rejected.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,0,41,0,0,0.0,0,0,0b4117b95bdcd36bf7d7b604c4b705f1ddd83a9b62b5c95b8b5832344aa59b7f
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Projects_Pending.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,2,41,0,0,24.3902,0,0,e8b763b10a1c3940d33ff8f74f47780b483f2afef35814a802751d64b0a03e41
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Project_Verification_Register.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,5,19,0,0,6.3158,0,0,c3dbda86cae9ce828a814da8c0b03e28c988b54aae88ff8257cacbbeedf94b57
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Project_Candidates.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,5,21,0,0,47.619,0,0,53833866aab142f6999facfad57c73bce927850321bb9216822f35340d4d36b0
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Projects_Canonical.csv,CANONICAL_DLI,READ_OK_utf-8-sig,24,24,0,0,18.4028,0,0,67a382157b18bf71b9206e0b26bc42df29555bc315bc949bc5eb2d7996cf09c3
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Official_Source_Evidence.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,62,4,30,0,19.3548,0,0,df62ef1296a2a5ee8accbc21a91e117bc7b7701a53ea385c254604d2e3037f33
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Projects_Final_Manual_Review.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,2,41,0,0,24.3902,0,0,e8b763b10a1c3940d33ff8f74f47780b483f2afef35814a802751d64b0a03e41
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Projects_Canonical_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,11,2,0,0,0.0,0,0,361a364cf31bf394ea3d1e304f451038809cf62201f5e7d8d125fb2ba6d7c914
01_Raw_Data/Semiconductor/Semiconductor_Master/DLI_Design_Projects/DLI_Design_Projects_Structured_Review.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,2,23,0,0,39.1304,0,0,1acae4a0fbd43ba9cd46206cadbd113b810c73b81112c36f3df89ab7cf266b5c
01_Raw_Data/Semiconductor/Semiconductor_Investment/Extracted_Investment_Data/Semiconductor_Investment_Relevant_Pages.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,51,4,0,0,0.0,0,0,3ff13b151a19978c919565230100930598e90c4a407dcbe465fe1840a667ee37
01_Raw_Data/Semiconductor/Semiconductor_Investment/Extracted_Investment_Data/Semiconductor_Investment_Raw_Pages.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,468,4,0,0,0.0,0,0,a30e54516b6add7b05d577c8d3817870f241aa359eac6a2437f646ddfc6cd7ae
