scenario_1,scenario_2,spearman_rho,p_value
4,5,0.9790209790209792,3.0898013985487064e-08
4,6,0.8741258741258742,0.0002007130733242317
4,7,0.8951048951048951,8.36658642909172e-05
4,8,0.8321678321678322,0.0007854416778536138
4,9,0.6923076923076924,0.0125930304960941
4,10,0.8951048951048951,8.36658642909172e-05
4,11,0.8321678321678322,0.0007854416778536138
4,12,0.6923076923076924,0.0125930304960941
4,13,0.8951048951048951,8.36658642909172e-05
4,14,0.8321678321678322,0.0007854416778536138
4,15,0.6923076923076924,0.0125930304960941
4,16,0.8951048951048951,8.36658642909172e-05
4,17,0.8321678321678322,0.0007854416778536138
4,18,0.6923076923076924,0.0125930304960941
4,19,1.0,0.0
4,20,0.9790209790209792,3.0898013985487064e-08
4,21,0.8741258741258742,0.0002007130733242317
4,22,1.0,0.0
4,23,0.9790209790209792,3.0898013985487064e-08
4,24,0.8741258741258742,0.0002007130733242317
4,25,0.8951048951048951,8.36658642909172e-05
4,26,0.8321678321678322,0.0007854416778536138
4,27,0.6923076923076924,0.0125930304960941
4,28,0.8951048951048951,8.36658642909172e-05
4,29,0.8321678321678322,0.0007854416778536138
4,30,0.6923076923076924,0.0125930304960941
4,31,0.8951048951048951,8.36658642909172e-05
4,32,0.8321678321678322,0.0007854416778536138
4,33,0.6923076923076924,0.0125930304960941
4,34,0.8951048951048951,8.36658642909172e-05
4,35,0.8321678321678322,0.0007854416778536138
4,36,0.6923076923076924,0.0125930304960941
4,37,1.0,0.0
4,38,0.9790209790209792,3.0898013985487064e-08
4,39,0.8741258741258742,0.0002007130733242317
4,40,1.0,0.0
4,41,0.9790209790209792,3.0898013985487064e-08
4,42,0.8741258741258742,0.0002007130733242317
4,43,0.8951048951048951,8.36658642909172e-05
4,44,0.8321678321678322,0.0007854416778536138
4,45,0.6923076923076924,0.0125930304960941
4,46,0.8951048951048951,8.36658642909172e-05
4,47,0.8321678321678322,0.0007854416778536138
4,48,0.6923076923076924,0.0125930304960941
4,49,0.8951048951048951,8.36658642909172e-05
4,50,0.8321678321678322,0.0007854416778536138
4,51,0.6923076923076924,0.0125930304960941
4,52,0.8951048951048951,8.36658642909172e-05
4,53,0.8321678321678322,0.0007854416778536138
4,54,0.6923076923076924,0.0125930304960941
4,55,1.0,0.0
4,56,0.9790209790209792,3.0898013985487064e-08
4,57,0.8741258741258742,0.0002007130733242317
4,58,1.0,0.0
4,59,0.9790209790209792,3.0898013985487064e-08
4,60,0.8741258741258742,0.0002007130733242317
4,61,0.8951048951048951,8.36658642909172e-05
4,62,0.8321678321678322,0.0007854416778536138
4,63,0.6923076923076924,0.0125930304960941
4,64,0.8951048951048951,8.36658642909172e-05
4,65,0.8321678321678322,0.0007854416778536138
4,66,0.6923076923076924,0.0125930304960941
4,67,0.8951048951048951,8.36658642909172e-05
4,68,0.8321678321678322,0.0007854416778536138
4,69,0.6923076923076924,0.0125930304960941
4,70,0.8951048951048951,8.36658642909172e-05
4,71,0.8321678321678322,0.0007854416778536138
4,72,0.6923076923076924,0.0125930304960941
4,73,1.0,0.0
4,74,0.9790209790209792,3.0898013985487064e-08
4,75,0.8741258741258742,0.0002007130733242317
4,76,1.0,0.0
4,77,0.9790209790209792,3.0898013985487064e-08
4,78,0.8741258741258742,0.0002007130733242317
4,79,0.8951048951048951,8.36658642909172e-05
4,80,0.8321678321678322,0.0007854416778536138
4,81,0.6923076923076924,0.0125930304960941
4,82,0.8951048951048951,8.36658642909172e-05
4,83,0.8321678321678322,0.0007854416778536138
4,84,0.6923076923076924,0.0125930304960941
4,85,0.8951048951048951,8.36658642909172e-05
4,86,0.8321678321678322,0.0007854416778536138
4,87,0.6923076923076924,0.0125930304960941
4,88,0.8951048951048951,8.36658642909172e-05
4,89,0.8321678321678322,0.0007854416778536138
4,90,0.6923076923076924,0.0125930304960941
4,91,1.0,0.0
4,92,0.9790209790209792,3.0898013985487064e-08
4,93,0.8741258741258742,0.0002007130733242317
4,94,1.0,0.0
4,95,0.9790209790209792,3.0898013985487064e-08
4,96,0.8741258741258742,0.0002007130733242317
4,97,0.8951048951048951,8.36658642909172e-05
4,98,0.8321678321678322,0.0007854416778536138
4,99,0.6923076923076924,0.0125930304960941
4,100,0.8951048951048951,8.36658642909172e-05
4,101,0.8321678321678322,0.0007854416778536138
4,102,0.6923076923076924,0.0125930304960941
4,103,0.8951048951048951,8.36658642909172e-05
4,104,0.8321678321678322,0.0007854416778536138
4,105,0.6923076923076924,0.0125930304960941
4,106,0.8951048951048951,8.36658642909172e-05
4,107,0.8321678321678322,0.0007854416778536138
4,108,0.6923076923076924,0.0125930304960941
4,109,1.0,0.0
4,110,0.9790209790209792,3.0898013985487064e-08
4,111,0.8741258741258742,0.0002007130733242317
4,112,1.0,0.0
4,113,0.9790209790209792,3.0898013985487064e-08
4,114,0.8741258741258742,0.0002007130733242317
4,115,0.8951048951048951,8.36658642909172e-05
4,116,0.8321678321678322,0.0007854416778536138
4,117,0.6923076923076924,0.0125930304960941
4,118,0.8951048951048951,8.36658642909172e-05
4,119,0.8321678321678322,0.0007854416778536138
4,120,0.6923076923076924,0.0125930304960941
4,121,0.8951048951048951,8.36658642909172e-05
4,122,0.8321678321678322,0.0007854416778536138
4,123,0.6923076923076924,0.0125930304960941
4,124,0.8951048951048951,8.36658642909172e-05
4,125,0.8321678321678322,0.0007854416778536138
4,126,0.6923076923076924,0.0125930304960941
4,127,1.0,0.0
4,128,0.9790209790209792,3.0898013985487064e-08
4,129,0.8741258741258742,0.0002007130733242317
4,130,1.0,0.0
4,131,0.9790209790209792,3.0898013985487064e-08
4,132,0.8741258741258742,0.0002007130733242317
4,133,0.8951048951048951,8.36658642909172e-05
4,134,0.8321678321678322,0.0007854416778536138
4,135,0.6923076923076924,0.0125930304960941
4,136,0.8951048951048951,8.36658642909172e-05
4,137,0.8321678321678322,0.0007854416778536138
4,138,0.6923076923076924,0.0125930304960941
4,139,0.8951048951048951,8.36658642909172e-05
4,140,0.8321678321678322,0.0007854416778536138
4,141,0.6923076923076924,0.0125930304960941
4,142,0.8951048951048951,8.36658642909172e-05
4,143,0.8321678321678322,0.0007854416778536138
4,144,0.6923076923076924,0.0125930304960941
4,145,1.0,0.0
4,146,0.9790209790209792,3.0898013985487064e-08
4,147,0.8741258741258742,0.0002007130733242317
4,148,1.0,0.0
4,149,0.9790209790209792,3.0898013985487064e-08
4,150,0.8741258741258742,0.0002007130733242317
4,151,0.8951048951048951,8.36658642909172e-05
4,152,0.8321678321678322,0.0007854416778536138
4,153,0.6923076923076924,0.0125930304960941
4,154,0.8951048951048951,8.36658642909172e-05
