Statement 1: Deployment of Gross Bank Credit by Major Sectors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,source_file,source_sheet,Statement 2: Industry-wise Deployment of Gross Bank Credit
(Rs. Crore),,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCSJ26E31072026E.xlsx,Statement 1,
,"28.Jun,2024","4.Apr,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 4.Apr,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 1,
,157488.733448,164992.009752,173981.017528,189092.110751,206441.043674,10.472040582792193,18.657222843736943,5.44814733120191,9.174858144053076,SIBCSJ26E31072026E.xlsx,Statement 2,2.2.4. Others
,30519.759436,35515.454614,34637.789632,40158.258454,37681.308926,13.492996904629992,8.786701825766196,-2.471219900009477,-6.167970483175387,SIBCSJ26E31072026E.xlsx,Statement 2,2.3. Beverage and Tobacco
,255274.602287,277267.085246,277280.660782,301868.423255,309020.44525,8.620543641180193,11.446807858321586,0.004896194580028796,2.369251449979724,SIBCSJ26E31072026E.xlsx,Statement 2,2.4. Textiles
,96642.115842,107494.595816,105868.712328,110268.444554,109654.068135,9.547179721400697,3.5755188891617933,-1.5125257931878309,-0.5571643106828614,SIBCSJ26E31072026E.xlsx,Statement 2,2.4.1. Cotton Textiles
,4245.209215,4288.234703,4410.959866,4994.105944,5353.643229,3.904416545934599,21.371388351688985,2.861904058426255,7.1992322355907215,SIBCSJ26E31072026E.xlsx,Statement 2,2.4.2. Jute Textiles
,45613.688073,49186.259419,49412.801265,52031.983847,53411.96116,8.32888843787399,8.093368100206607,0.46057953720402234,2.6521712434755855,SIBCSJ26E31072026E.xlsx,Statement 2,2.4.3. Man-Made Textiles
,108773.589157,116297.995308,117588.187323,134573.88891,140600.772725,8.10361985323232,19.570490817064215,1.1093845698570326,4.478494204050701,SIBCSJ26E31072026E.xlsx,Statement 2,2.4.4. Other Textiles
,12621.224208,12979.843088,13206.854982,14147.201015,14562.071198,4.640047307208102,10.261460566100421,1.7489571519541403,2.932524833429032,SIBCSJ26E31072026E.xlsx,Statement 2,2.5. Leather and Leather Products
,24222.213624,27825.967375,28302.989146,31055.061203,32587.796139,16.847244373886046,15.139061711457288,1.714304356687257,4.935539897927913,SIBCSJ26E31072026E.xlsx,Statement 2,2.6. Wood and Wood Products
,47583.855249,52847.593915,52730.576135,58963.985152,62076.484845,10.816107394131675,17.723888861128213,-0.22142499086752354,5.27864540528673,SIBCSJ26E31072026E.xlsx,Statement 2,2.7. Paper and Paper Products
,150054.360383,154178.5291,154602.373831,204180.229698,229656.355072,3.030910555609064,48.546461080244164,0.2749051592813452,12.477273344084958,SIBCSJ26E31072026E.xlsx,Statement 2,"2.8. Petroleum, Coal Products and Nuclear Fuels"
,254949.61555,267814.870041,271054.833683,307905.567082,328675.042974,6.317019972066405,21.257768588029354,1.2097773516100803,6.745404472166859,SIBCSJ26E31072026E.xlsx,Statement 2,2.9. Chemicals and Chemical Products
,36924.591113,32011.209754,31958.035805,30585.683931,37126.268531,-13.450535695306407,16.17193483834637,-0.16611040135200006,21.384464100117174,SIBCSJ26E31072026E.xlsx,Statement 2,2.9.1. Fertiliser
,81597.508193,88524.293888,86381.906215,104391.409087,105554.017624,5.863411920231202,22.194591725356965,-2.420112693257436,1.1137013545157461,SIBCSJ26E31072026E.xlsx,Statement 2,2.9.2. Drugs and Pharmaceuticals
,27462.27148,28797.461456,33906.774446,36807.94201,40555.892341,23.466751359927944,19.60999830753407,17.74223397366669,10.182450108136324,SIBCSJ26E31072026E.xlsx,Statement 2,2.9.3. Petro Chemicals
,108965.244763,118481.904944,118808.117218,136120.532054,145438.864477,9.03303844855147,22.414922382900375,0.2753266620368637,6.845647958019541,SIBCSJ26E31072026E.xlsx,Statement 2,2.9.4. Others
,88970.096682,103464.613501,102610.730954,112778.582259,116125.305614,15.331706697762534,13.170722530042722,-0.8252894570487602,2.9675167819667445,SIBCSJ26E31072026E.xlsx,Statement 2,"2.10. Rubber, Plastic and their Products"
,12339.683846,13442.791875,13243.429986,16286.833106,16307.292626,7.323900282039683,23.134963096712077,-1.4830393184228452,0.125620001548755,SIBCSJ26E31072026E.xlsx,Statement 2,2.11. Glass and Glassware
,60570.979288,59752.607309,59182.672237,65112.661766,68921.952102,-2.292033358745856,16.45630299692883,-0.953824607272252,5.850306580446236,SIBCSJ26E31072026E.xlsx,Statement 2,2.12. Cement and Cement Products
,398181.909153,433501.154395,442054.871736,518062.281776,534392.023779,11.018321419053215,20.888165236225422,1.973170602725998,3.1520808554174407,SIBCSJ26E31072026E.xlsx,Statement 2,2.13. Basic Metal and Metal Product
,281763.051619,300156.039772,301599.997934,356663.326486,368672.615188,7.040293679748872,22.238931602604897,0.48106916758924223,3.3671218233510887,SIBCSJ26E31072026E.xlsx,Statement 2,2.13.1. Iron and Steel
,116418.857534,133345.114622,140454.873802,161398.95529,165719.408592,20.646153704935905,17.987652621877373,5.331848264673498,2.6768781088062394,SIBCSJ26E31072026E.xlsx,Statement 2,2.13.2. Other Metal and Metal Product
